Name,Email,Phone,Contact Name,City,State,Venue Type,Website,Status,Notes
Bourbon Street Lounge at The Orleans,,(702) 365-7111,,Las Vegas,NV,Bar (Casino Lounge),https://orleans.boydgaming.com/entertain/bourbon-street-lounge,prospect,"4500 W Tropicana Ave; free live music nightly; house bands (Rhythm Nation/Block Party) play R&B funk Motown classic rock Top 40; no cover; dance floor"
Grandview Lounge at South Point,,(702) 796-7111,,Las Vegas,NV,Bar (Casino Lounge),https://southpointcasino.com/entertainment/nitelife,prospect,"9777 Las Vegas Blvd S; free lounge entertainment plus dance/show bands; 1100+ sq ft dance floor; acts like Spazmatics and Deja Vu; off-Strip locals favorite"
The Railhead at Boulder Station,,(702) 432-7777,,Las Vegas,NV,Music Venue (Casino),https://boulderstation.com/see-and-do/the-railhead/,prospect,"4111 Boulder Hwy; intimate concert room booking jazz/blues/country/rock and tribute bands; no cover on many shows; Latin nights"
Chrome Showroom at Santa Fe Station,,(702) 658-4900,,Las Vegas,NV,Music Venue (Casino),https://santafestation.com/eat-and-drink/chrome-showroom/,prospect,"4949 N Rancho Dr; 510-seat room with weekend live entertainment; country/jazz/rock lounge acts (Yellow Brick Road/Blue String Theory)"
90 NINETY Bar + Grill at Suncoast,,(702) 636-7111,,Las Vegas,NV,Bar (Casino),https://suncoast.boydgaming.com/things-to-do,prospect,"9090 Alta Dr; cocktails plus live music from local entertainers; Summerlin-area locals casino; Suncoast Showroom also books tribute/jazz acts"
ETA Lounge at Aliante,,(702) 692-7777,,North Las Vegas,NV,Bar (Casino Lounge),https://www.aliantegaming.com,prospect,"7300 Aliante Pkwy; live music and DJs; dueling pianos Fri; Acoustic Junkyard Sat; live jazz (Vince Priester) Sun; dancing"
Mermaid Lounge at Silverton,,(702) 263-7777,,Las Vegas,NV,Bar (Casino Lounge),https://silvertoncasino.com/entertainment/,prospect,"3333 Blue Diamond Rd; free live music Fri & Sat 8-11pm near the aquarium; local acts; Veil Pavilion handles larger concerts"
The Lounge at Gold Coast,,(702) 367-7111,,Las Vegas,NV,Bar (Casino Lounge),https://goldcoast.boydgaming.com,prospect,"4000 W Flamingo Rd; free lounge entertainment including live Latin music; ballroom dancing; traditional Vegas lounge acts"
Rush Lounge at Golden Nugget,,(702) 385-7111,,Las Vegas,NV,Bar (Casino Lounge),https://www.goldennugget.com/las-vegas/entertainment/,prospect,"129 E Fremont St; intimate lounge on casino floor with live bands; jazz/pop/cover acts; VIP table service; 52 Fridays concert series onsite"
Piazza Lounge at Tuscany Suites,,(702) 893-8933,,Las Vegas,NV,Bar (Casino Lounge),https://www.tuscanylv.com/live-entertainment/,prospect,"255 E Flamingo Rd; live entertainment 7 nights; solo acts and bands across blues/Americana/soul/tribute; Saturday country nights"
The International Bar at Westgate,,(702) 732-5111,,Las Vegas,NV,Bar (Casino Lounge),https://www.westgateresorts.com/hotels/nevada/las-vegas/westgate-las-vegas-resort-casino/dining/international-bar-entertainment-las-vegas/,prospect,"3000 Paradise Rd; live cover bands and tribute acts most nights; San Fernando Band Sat; High Octane trio Thu; duo Jamit Sun/Tue; DJs"
Casbar Lounge at SAHARA Las Vegas,,(702) 737-2111,,Las Vegas,NV,Bar (Casino Lounge),https://www.saharalasvegas.com/restaurants-bars/casbar-lounge,prospect,"2535 Las Vegas Blvd S; free live lounge entertainment Wed-Sun; AZILO Ultra Lounge onsite adds dueling pianos and live-band karaoke"
The Silver Bar at The Pass Casino,,(702) 294-5000,,Henderson,NV,Bar (Casino),https://www.passcasino.com/the-silver-bar,prospect,"7 S Water St downtown Henderson; live entertainment every Fri & Sat night; historic Water Street District locals spot"
The Club at Cannery,,(702) 507-5700,,North Las Vegas,NV,Music Venue (Casino),https://cannery.boydgaming.com/entertain,prospect,"2121 E Craig Rd; North LV premier concert room; free concerts and touring acts (classic rock/R&B legends); larger room than a lounge"
Bunkhouse Saloon,,(702) 982-1764,,Las Vegas,NV,Music Venue/Bar,https://www.facebook.com/bunkhouselv/,prospect,"124 S 11th St Fremont East; historic (1953) live-music room; indie/alt rock/Americana/punk/singer-songwriters; confirm booking status post-reopening"
The Usual Place,,(725) 208-7253,,Las Vegas,NV,Bar/Lounge,https://www.theusualplace.vegas/,prospect,"100 S Maryland Pkwy; local-driven bar/lounge open Tue-Sat; regular live music and DJs across rock/metal/pop-punk plus burlesque"
Hennessey's Tavern,,(702) 382-4421,,Las Vegas,NV,Bar (Irish Pub),https://www.hennesseyslasvegas.com/,prospect,"425 Fremont St #110 Fremont East; nightly live entertainment; local cover bands (Hot Sauce/Garage Boys/Generation FM); burgers and beers"
ReBAR,,(702) 998-8777,,Las Vegas,NV,Bar,https://rebarlv.com/,prospect,"1225 S Main St Arts District; antique-store bar with open-mic nights and live music events; quirky local hangout; gourmet sausages"
Hogs & Heifers Outpost (Plaza),,(702) 676-1457,,Las Vegas,NV,Bar (Saloon),https://hogsandheiferslasvegas.com/,prospect,"Pop-up at Plaza Hotel 1 S Main St while new Main & Bridger location is built; rowdy biker saloon with live music; confirm location/booking"
The Dispensary Lounge,,(702) 458-6343,,Las Vegas,NV,Lounge (Jazz),https://thedispensarylounge.com/,prospect,"2451 E Tropicana Ave; family-owned jazz lounge/dive since 1976; live jazz Thu 9pm; Vintage Vegas Night last Sun of month 6pm; 24/7 gaming"
Maxan Jazz,,(702) 485-3926,,Las Vegas,NV,Jazz Club/Bar-Restaurant,https://www.maxanjazz.com/,prospect,"4130 S Decatur Blvd; live jazz club with upscale sushi; top local jazz musicians and singers; no cover charge"
Italian American Club Restaurant,,(702) 457-3866,,Las Vegas,NV,Bar/Restaurant (Supper Club),https://www.iacvegas.com/,prospect,"2333 E Sahara Ave; Wed-Sun 5-10pm; Rat Pack-era lounge music and tribute/vocal acts in classic supper-club setting; full bar"
The Vegas Room,,(702) 533-0075,,Las Vegas,NV,Supper Club/Cabaret,https://thevegasroom.com/,prospect,"953 E Sahara Ave E-18 Commercial Center; intimate cabaret-style live shows and supper-club menu; local performers"
The Composers Room,,(702) 573-7710,,Las Vegas,NV,Music Venue (Show Lounge),https://thecomposersroom.com/,prospect,"953 E Sahara Ave Commercial Center; 40+ shows monthly; jazz ensembles/tribute artists/cabaret/international acts; two stages; full production"
The Space,,(702) 903-1070,,Las Vegas,NV,Music Venue/Event Space,https://thespacelv.com/,prospect,"3460 W Cavaretta Ct off Spring Mountain; Mark Shunock community arts venue; live musical and theatrical performances; speakeasy feel; events-driven booking"
Red Dwarf,,(702) 640-0496,,Las Vegas,NV,Bar,https://reddwarflv.com/,prospect,"1305 Vegas Valley Dr; punk-tiki dive with live punk/rock bands; Sunday surf-music brunch; monthly burlesque; Detroit-style pizza; no cover"
