Name,Email,Phone,Contact Name,City,State,Venue Type,Website,Status,Notes
The Sand Dollar Lounge,,(702) 485-5401,,Las Vegas,NV,Bar,https://thesanddollarlv.com,prospect,"3355 Spring Mountain Rd; free live music nightly 10pm-2am; blues/rock/roots; iconic since 1976"
Double Down Saloon,,(702) 791-5775,,Las Vegas,NV,Bar,https://doubledownsaloon.com,prospect,"4640 Paradise Rd; live punk/indie bands regularly; no cover; open 24/7; founded 1992"
Brooklyn Bowl Las Vegas,,(702) 862-2695,,Las Vegas,NV,Music Venue,https://www.brooklynbowl.com/las-vegas,prospect,"3545 Las Vegas Blvd S (LINQ Promenade); capacity 2500; eclectic live music lineup; bowling + concerts"
House of Blues Las Vegas,,(702) 632-7607,,Las Vegas,NV,Music Venue,https://lasvegas.houseofblues.com,prospect,"3950 S Las Vegas Blvd (Mandalay Bay); live music daily in restaurant and main concert hall; Southern cuisine"
Gilley's Saloon,,(702) 894-7111,,Las Vegas,NV,Bar/Restaurant,https://gilleyslasvegas.com,prospect,"3300 S Las Vegas Blvd (Treasure Island); live country music nightly; mechanical bull; line dancing Mon-Thu 7pm"
Carnaval Court at Harrah's,,(702) 693-6138,,Las Vegas,NV,Bar (Outdoor),https://www.caesars.com/harrahs-las-vegas/things-to-do/nightlife/carnaval-court,prospect,"3475 Las Vegas Blvd S; live cover bands daily (Crashers/Spazmatics/Whip Its); free admission; open noon daily"
Fremont Street Experience,,(702) 678-5600,,Las Vegas,NV,Outdoor Venue,https://vegasexperience.com,prospect,"425 Fremont St; 3 stages; free live music nightly 6pm-1am; local cover bands and national acts; Downtown Rocks concert series"
Ole Red Las Vegas,,(725) 303-1818,,Las Vegas,NV,Bar/Restaurant,https://olered.com/lasvegas,prospect,"3627 Las Vegas Blvd S; Blake Shelton-inspired; live country music daily on multiple floors; Strip views"
The Barbershop Cuts & Cocktails,info@thebarbershoplv.com,(702) 698-7434,,Las Vegas,NV,Bar (Speakeasy),https://www.thebarbershoplv.com,prospect,"3708 S Las Vegas Blvd (Cosmopolitan); rock-leaning live music 7 nights/week; Wild West Wednesdays country rock; Tue live-band karaoke"
Caspian's Rock & Roe,,(702) 731-7779,,Las Vegas,NV,Bar (Speakeasy),https://www.caspianslv.com,prospect,"3570 Las Vegas Blvd S (Caesars Palace); live bands Tue-Sat from 8pm; yacht rock Thursdays; caviar bar + speakeasy"
Alexxa's Bar at Paris Las Vegas,,(702) 331-5100,,Las Vegas,NV,Bar,https://www.alexxaslasvegas.com,prospect,"3655 S Las Vegas Blvd (Paris Las Vegas); live music Wed-Sun; outdoor patio with Bellagio Fountains/Eiffel Tower view"
The Lounge at Excalibur,,(702) 597-7777,,Las Vegas,NV,Bar (Casino),https://excalibur.mgmresorts.com,prospect,"3850 S Las Vegas Blvd (Excalibur); live bands Thu-Sun; featured band Dollface; no cover"
The Piano Bar at Harrah's,,(702) 369-5000,,Las Vegas,NV,Piano Bar,https://www.caesars.com/harrahs-las-vegas/things-to-do/nightlife/piano-bar,prospect,"3475 Las Vegas Blvd S; dueling pianos nightly 9pm-2am; Big Elvis show; interactive sing-along; no cover"
Eastside Lounge at Encore,,(702) 770-5398,,Las Vegas,NV,Bar (Casino Lounge),https://www.wynnlasvegas.com/dining/bars-and-lounges/eastside-lounge,prospect,"3131 Las Vegas Blvd S (Wynn/Encore); dueling pianos nightly 9:30pm; upscale; no cover"
Interlude Lounge at The Cromwell,,,,Las Vegas,NV,Bar (Casino Lounge),https://www.caesars.com/cromwell,prospect,"3595 Las Vegas Blvd S (Cromwell); dueling pianos Fri-Sat 8:30pm-1:30am"
Losers Bar at MGM Grand,,(702) 891-3003,,Las Vegas,NV,Bar (Casino),https://www.losersbarlasvegas.com,prospect,"3799 S Las Vegas Blvd (MGM Grand The District); live Nashville country artists daily 3:30pm-1am; no cover; small dance floor"
DawgHouse Saloon at Resorts World,,(702) 676-6964,,Las Vegas,NV,Bar (Casino),https://www.dawghouselasvegas.com,prospect,"3000 S Las Vegas Blvd (Resorts World); live classic rock/country/pop daily; no cover; 15000 sq ft"
Beerhaus at Park MGM,,(702) 692-2337,,Las Vegas,NV,Bar/Restaurant,https://newyorknewyork.mgmresorts.com/en/restaurants/beerhaus.html,prospect,"3782 Las Vegas Blvd S (The Park); live music Thu-Mon nights; craft beers; bar games; outdoor patio"
PBR Rock Bar & Grill,,(702) 750-1685,,Las Vegas,NV,Bar/Restaurant,https://www.pbrrockbar.com,prospect,"3667 S Las Vegas Blvd (Miracle Mile Shops); nightly live bands; 13000 sq ft indoor + 3000 sq ft outdoor Strip patio; mechanical bull"
Cabo Wabo Cantina,,(702) 385-2226,,Las Vegas,NV,Bar/Restaurant,https://www.cabowabocantina.com,prospect,"3663 S Las Vegas Blvd (Miracle Mile Shops); Sammy Hagar concept; live music weekly; coastal Mexican cuisine"
On The Record at Park MGM,,(702) 730-6773,,Las Vegas,NV,Club/Bar,https://ontherecordlv.com,prospect,"3770 S Las Vegas Blvd (Park MGM); speakeasy/club; live performances Fri-Sat 10pm-2am; record store entrance"
Hard Rock Live Las Vegas,LasVegasSales@HardRock.com,(702) 733-7625,,Las Vegas,NV,Music Venue,https://cafe.hardrock.com/las-vegas,prospect,"3771 Las Vegas Blvd S (Showcase Mall 3rd floor); capacity 1200; concerts and private events; events line (702) 650-8590"
